run,ansatz,encoding,dim,seed,epoche,max_val_f1,max_val_auc,test_f1,test_auc,test_ece,tempo_tot_s
VQC_q6_dim16_seed_11_ansatzefficient_su2_encamplitude_key_a4d9ce79,efficient_su2,amplitude,16,11,50,0.7147038108467041,0.9088039939057015,0.6825615193272289,0.9252178235861402,0.09912431240081787,24883.927693367004
VQC_q6_dim16_seed_17_ansatzefficient_su2_key_209d8de6,efficient_su2,zzfeaturemap,16,17,50,0.3498031494765011,0.6417334185991606,0.37460070126658285,0.6681443273303452,0.1304682195186615,8176.802528142929
VQC_q6_dim16_seed_17_ansatzefficient_su2_key_afdb4265,efficient_su2,ry,16,17,50,0.6126113427752846,0.8409723319184641,0.5675104567260272,0.8635765148732489,0.03208521753549576,8177.308260440826
VQC_q6_dim16_seed_17_ansatzefficient_su2_key_c10636b7,efficient_su2,rx,16,17,50,0.6122915700908539,0.84551757800889,0.5726618680350313,0.8657738574936417,0.03967893123626709,5953.264985561371
VQC_q6_dim16_seed_17_ansatzreal_amplitudes_key_91adbde6,real_amplitudes,ry,16,17,50,0.5930964516486789,0.8284024164878971,0.5561117317427073,0.8533574020673284,0.04611607640981674,4418.650257587433
VQC_q6_dim16_seed_17_ansatzreal_amplitudes_key_ca7d1e44,real_amplitudes,rx,16,17,50,0.6026858955974372,0.8348045722525974,0.5658160322911241,0.8604612571525808,0.04894439876079559,4562.45444393158
VQC_q6_dim16_seed_17_ansatzreal_amplitudes_key_ffd0c16d,real_amplitudes,zzfeaturemap,16,17,50,0.35228792104891904,0.6426333170275178,0.36189630051419536,0.6697516348635411,0.10239021480083466,13200.759635448456
VQC_q6_dim16_seed_17_ansatzttn_key_1a85a59d,ttn,ry,16,17,50,0.684248742511419,0.89159583828028,0.6469478006642397,0.9040640315168711,0.0422971136868,4496.584947347641
VQC_q6_dim16_seed_17_ansatzttn_key_7e3e29ee,ttn,zzfeaturemap,16,17,50,0.3516910779925295,0.6409395716666073,0.3318698288435121,0.6501315936500676,0.057886041700839996,8402.266593933105
VQC_q6_dim16_seed_17_ansatzttn_key_c8808504,ttn,rx,16,17,50,0.6552092682986175,0.8678883926372448,0.614462320804495,0.8911993102902429,0.049571093171834946,4161.837210893631
VQC_q6_dim32_seed_17_ansatzefficient_su2_key_5c30efc1,efficient_su2,ry,32,17,50,0.5155640383717905,0.78170398320501,0.5124107369483389,0.82185898843204,0.06852007657289505,9759.60057592392
VQC_q6_dim32_seed_17_ansatzefficient_su2_key_68416c47,efficient_su2,zzfeaturemap,32,17,50,0.2727377468781298,0.529726903067022,0.23338159341488018,0.5276210858946802,0.024550553411245346,20053.820111989975
VQC_q6_dim32_seed_17_ansatzefficient_su2_key_bd3c211d,efficient_su2,rx,32,17,50,0.5626569242802385,0.8051395060187143,0.5298281986498536,0.8309961189314197,0.06305672228336334,8660.238308906555
VQC_q6_dim32_seed_17_ansatzreal_amplitudes_key_5e1318d8,real_amplitudes,rx,32,17,50,0.5351399689046716,0.7839046844400057,0.4924996919007298,0.7995933070149241,0.03553866967558861,7180.997992277145
VQC_q6_dim32_seed_17_ansatzreal_amplitudes_key_71a911ea,real_amplitudes,zzfeaturemap,32,17,50,0.27613142661636775,0.5307968660562178,0.22567157799918014,0.5223438241397103,0.03482932224869728,22308.353999853134
VQC_q6_dim32_seed_17_ansatzreal_amplitudes_key_c4c57651,real_amplitudes,ry,32,17,50,0.45475271525049543,0.7252607019653604,0.42809607333969024,0.7496577956174181,0.04067280516028404,4926.388834476471
VQC_q6_dim32_seed_17_ansatzttn_key_77d2d503,ttn,ry,32,17,50,0.6696680397389402,0.8871865270651061,0.6301220832771489,0.8958623195023884,0.047936778515577316,5589.744956493378
VQC_q6_dim32_seed_17_ansatzttn_key_f81b58b2,ttn,rx,32,17,50,0.6389455751331693,0.8629530171703635,0.6068883228716618,0.8775173263965041,0.06101400777697563,5265.984486818314
VQC_q6_dim4_seed_17_ansatzefficient_su2_key_29526cbb,efficient_su2,ry,4,17,50,0.5707441981173021,0.8200861320737092,0.5601980816361348,0.851379078432273,0.08322277665138245,4746.292630434036
VQC_q6_dim4_seed_17_ansatzefficient_su2_key_3dab8473,efficient_su2,rx,4,17,50,0.5046312339538965,0.7787867708880045,0.5173065243522665,0.823036700335627,0.14742426574230194,4272.37025809288
